bond	id	label_mutagenic
http://dl-learner.org/carcinogenesis#d187	3.0	1.0
http://dl-learner.org/carcinogenesis#d133	4.0	0.0
http://dl-learner.org/carcinogenesis#d23_2	6.0	0.0
http://dl-learner.org/carcinogenesis#d312	8.0	0.0
http://dl-learner.org/carcinogenesis#d81	10.0	0.0
http://dl-learner.org/carcinogenesis#d295	11.0	0.0
http://dl-learner.org/carcinogenesis#d147	12.0	1.0
http://dl-learner.org/carcinogenesis#d313	13.0	1.0
http://dl-learner.org/carcinogenesis#d72	15.0	1.0
http://dl-learner.org/carcinogenesis#d261	16.0	1.0
http://dl-learner.org/carcinogenesis#d268	19.0	0.0
http://dl-learner.org/carcinogenesis#d160	20.0	1.0
http://dl-learner.org/carcinogenesis#d248	21.0	0.0
http://dl-learner.org/carcinogenesis#d269	23.0	1.0
http://dl-learner.org/carcinogenesis#d333	24.0	0.0
http://dl-learner.org/carcinogenesis#d287	25.0	0.0
http://dl-learner.org/carcinogenesis#d85_2	27.0	0.0
http://dl-learner.org/carcinogenesis#d240	28.0	0.0
http://dl-learner.org/carcinogenesis#d156	29.0	1.0
http://dl-learner.org/carcinogenesis#d249	30.0	1.0
http://dl-learner.org/carcinogenesis#d1	31.0	0.0
http://dl-learner.org/carcinogenesis#d255	32.0	0.0
http://dl-learner.org/carcinogenesis#d100	33.0	0.0
http://dl-learner.org/carcinogenesis#d294	34.0	0.0
http://dl-learner.org/carcinogenesis#d274	35.0	0.0
http://dl-learner.org/carcinogenesis#d89	36.0	1.0
http://dl-learner.org/carcinogenesis#d106	37.0	1.0
http://dl-learner.org/carcinogenesis#d281	38.0	0.0
http://dl-learner.org/carcinogenesis#d239	39.0	1.0
http://dl-learner.org/carcinogenesis#d247	40.0	0.0
http://dl-learner.org/carcinogenesis#d2	41.0	1.0
http://dl-learner.org/carcinogenesis#d101	42.0	1.0
http://dl-learner.org/carcinogenesis#d324	43.0	1.0
http://dl-learner.org/carcinogenesis#d152	44.0	1.0
http://dl-learner.org/carcinogenesis#d63	47.0	1.0
http://dl-learner.org/carcinogenesis#d178	48.0	0.0
http://dl-learner.org/carcinogenesis#d171	49.0	1.0
http://dl-learner.org/carcinogenesis#d234	50.0	0.0
http://dl-learner.org/carcinogenesis#d44	51.0	0.0
http://dl-learner.org/carcinogenesis#d144	52.0	1.0
http://dl-learner.org/carcinogenesis#d208_1	53.0	0.0
http://dl-learner.org/carcinogenesis#d19	54.0	1.0
http://dl-learner.org/carcinogenesis#d158	55.0	0.0
http://dl-learner.org/carcinogenesis#d29	56.0	0.0
http://dl-learner.org/carcinogenesis#d91	57.0	0.0
http://dl-learner.org/carcinogenesis#d198	58.0	0.0
http://dl-learner.org/carcinogenesis#d57	59.0	0.0
http://dl-learner.org/carcinogenesis#d138	60.0	0.0
http://dl-learner.org/carcinogenesis#d18	61.0	1.0
http://dl-learner.org/carcinogenesis#d42	62.0	1.0
http://dl-learner.org/carcinogenesis#d150	63.0	0.0
http://dl-learner.org/carcinogenesis#d223	64.0	0.0
http://dl-learner.org/carcinogenesis#d215	65.0	1.0
http://dl-learner.org/carcinogenesis#d130	67.0	0.0
http://dl-learner.org/carcinogenesis#d157	68.0	0.0
http://dl-learner.org/carcinogenesis#d16	69.0	0.0
http://dl-learner.org/carcinogenesis#d43	72.0	0.0
http://dl-learner.org/carcinogenesis#d4	75.0	0.0
http://dl-learner.org/carcinogenesis#d189	77.0	1.0
http://dl-learner.org/carcinogenesis#d96	79.0	1.0
http://dl-learner.org/carcinogenesis#d202	80.0	1.0
http://dl-learner.org/carcinogenesis#d104	81.0	1.0
http://dl-learner.org/carcinogenesis#d277	82.0	0.0
http://dl-learner.org/carcinogenesis#d110	83.0	0.0
http://dl-learner.org/carcinogenesis#d155	84.0	1.0
http://dl-learner.org/carcinogenesis#d229	85.0	1.0
http://dl-learner.org/carcinogenesis#d301	86.0	0.0
http://dl-learner.org/carcinogenesis#d308	87.0	1.0
http://dl-learner.org/carcinogenesis#d328	88.0	0.0
http://dl-learner.org/carcinogenesis#d70	89.0	0.0
http://dl-learner.org/carcinogenesis#d284	90.0	0.0
http://dl-learner.org/carcinogenesis#d177	91.0	1.0
http://dl-learner.org/carcinogenesis#d184	93.0	0.0
http://dl-learner.org/carcinogenesis#d124	94.0	0.0
http://dl-learner.org/carcinogenesis#d291	95.0	0.0
http://dl-learner.org/carcinogenesis#d182	98.0	1.0
http://dl-learner.org/carcinogenesis#d190	99.0	0.0
http://dl-learner.org/carcinogenesis#d174	100.0	1.0
http://dl-learner.org/carcinogenesis#d276	101.0	0.0
http://dl-learner.org/carcinogenesis#d283	103.0	0.0
http://dl-learner.org/carcinogenesis#d245	104.0	1.0
http://dl-learner.org/carcinogenesis#d263	105.0	0.0
http://dl-learner.org/carcinogenesis#d166	106.0	1.0
http://dl-learner.org/carcinogenesis#d137	107.0	1.0
http://dl-learner.org/carcinogenesis#d161	108.0	1.0
http://dl-learner.org/carcinogenesis#d242	109.0	1.0
http://dl-learner.org/carcinogenesis#d39	111.0	0.0
http://dl-learner.org/carcinogenesis#d236	112.0	0.0
http://dl-learner.org/carcinogenesis#d117	113.0	1.0
http://dl-learner.org/carcinogenesis#d13	114.0	1.0
